,s_start,t_start,z_start,vpar_start,s_end,t_end,z_end,vpar_end,last_time,dt_min,dt_max
248,-0.14308769291887002,0.2145099336419326,4.150282908422482,1885872.9402664728,1.0032805200392307,2.1484703442975044,3.1665923311728053,3003391.808856795,3.874858908858535e-05,1.2219371345506101e-09,1.999417582540389e-07
249,0.08443871375671999,0.283002400115551,0.06156371959260078,-530705.5926251751,0.25457433224783377,-0.2378450574384087,30.0678028799155,1543244.0094844426,0.003,1.4125095571456983e-09,3.2692628151700534e-07
250,-0.13509606833067875,0.017426505202959935,4.432281242214191,-12345653.53287601,0.13339610878289734,-3.0595617015364986,-3366.5499477780136,-12361010.263439886,0.003,1.1887328678242218e-09,1.5277238034539258e-07
251,0.04868483519364255,0.23348273525211663,1.9152006669318464,1860788.9454338083,0.2228733395424304,0.9276231413948918,52.121910173227846,1364195.289683543,0.003,1e-10,4.937887907513554e-07
252,-0.06972464085395541,0.35004697745662583,0.7560974872978525,9704386.760677697,0.33270138768008756,1.4065746368668124,2549.0211527429183,9043990.512885919,0.003,1.4263831142617687e-09,1.3413088578553569e-07
253,0.2730799444815603,-0.16241515144137894,1.1028928847169592,9534743.193166308,0.3643394829649345,1.9214562221323026,2491.100194529424,8717419.039858047,0.003,1.4339824155570199e-09,1.3337624901332814e-07
254,-0.021007658704114755,-0.4222271023902115,1.363096639607283,12832261.570401637,0.4071248726158754,1.281026686553533,3451.241747169917,12837336.759621473,0.003,1.4362451764694435e-09,1.4672371067188677e-07
255,-0.23353747609594555,0.375013405609984,1.9156004940685065,-2091237.7998894637,0.30461112908118443,-1.758394858434912,32.753046942199994,-1841422.3987418744,0.003,1.3966934275093822e-09,4.024345792856029e-07
256,-0.010260168024754358,-0.06014451462861353,5.863506904734465,10455965.641796041,0.038414848950132634,0.29713973581971587,2848.1983984866633,10421918.549398553,0.003,1.3619225310028294e-09,1.5700689187731038e-07
257,-0.1099843425334853,0.19981137166525323,1.616370250886276,-2320152.376833969,1.0024507987760654,2.7143779882596544,1.9845751548964305,3952496.184190823,4.252742980798291e-05,1.2557786418520137e-09,2.271120204055865e-07
258,0.0732339852289149,0.2780515574936761,4.99144318287638,8301223.337327315,0.3381406019651188,2.602066310406168,2083.0393038582088,6855422.599549339,0.003,1.4562644681140788e-09,1.5998414581243447e-07
259,-0.1891947843380824,0.0619575397303996,5.344564570897328,-3497358.838943821,0.238975785554971,1.3760656076487483,40.983461523573254,1166503.9896551734,0.003,1e-10,3.9689930378390647e-07
260,0.004861740196611517,0.009766192021541234,2.2304061803678943,4820247.042377179,1.003640385551341,2.425631835237577,4.855919069701504,1796544.6256966551,0.0001529809677324595,1.4015993783832e-09,2.2669091818181196e-07
261,-0.06906089107836234,0.19602300095422123,2.14715166919262,10085091.488958862,0.15981404203259844,0.020288107039159797,2635.871632672687,9976162.39940232,0.003,1.4900907129411793e-09,1.3572579955353608e-07
262,-0.08055338529131785,0.0002878923112347966,1.5500560094563702,-8260196.031090629,0.1335387971618169,-0.27691816448474865,-2403.507808938492,-9152900.26178502,0.003,1.1993391853300057e-09,1.436245682842285e-07
263,-0.038728928797429854,0.13503230099504523,3.7846459823054874,885960.7729583435,0.3150282903201973,-1.0716775534278637,48.205910980468694,494027.88584669057,0.003,1.4807786526508534e-09,4.273403855075688e-07
264,-0.0489832253581899,0.01442561017060944,2.3858677251017206,-7527240.200813284,0.10842152525564863,1.2167595592911942,-1803.8964069163544,-6392203.988399153,0.003,1.4748600195474928e-09,1.9071523465435802e-07
265,-0.04039127732890082,-0.07480776637422262,4.0904063872137435,-6280876.294946871,0.1709998131133512,-0.6738341959954129,-1373.6602756995096,-5371925.701662046,0.003,1.455548559268387e-09,2.037907165188118e-07
266,0.013041857409377662,0.042449156548917816,1.5553164597147096,5161962.22541596,0.025913199034635022,-0.09953513320702466,1377.0235757348403,5462961.320043604,0.003,1.318026714981671e-09,2.3474182674836613e-07
267,-0.163326152219381,-0.17380897674756152,6.091893151962749,8682382.26957101,0.23808748578037342,-2.5077606026662624,2442.5241757610083,8385963.42382664,0.003,1.2578402924557707e-09,1.4248791408736055e-07
268,-0.223501332655038,0.06562945546281393,2.106064443620422,-12434439.36156867,0.30766038972320325,-1.1415744781170956,-3352.6933149956058,-12465780.225988913,0.003,1.3660367955141549e-09,1.40887604530424e-07
269,-0.013109379673147471,-0.0005596172545295267,5.0891566151875045,-7816702.161324586,0.011810557944248776,-2.912543383718907,-2207.97556125108,-8155960.073285715,0.003,1.2704940778198247e-09,1.776738702422408e-07
270,0.17909063821198662,0.05946595132907681,0.17887639292810317,9514288.188281585,0.20060332128010525,0.9133809301116342,2483.5971820916143,9491551.903938293,0.003,1.4485114695102056e-09,1.369909362386373e-07
